Nome: DIANOPOLIS
Codigo Estacao: A038
Latitude: -11.59444444
Longitude: -46.84722221
Altitude: 727.87
Situacao: Pane
Data Inicial: 2015-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2023-11-30;9;null;930;26,2;7,2;,4;
2023-12-31;6;null;930,1;26,2;12;,5;
2024-01-31;null;null;931,4;24;7,9;,5;
2024-02-29;null;null;931,9;24,7;8,8;,7;
2024-03-31;null;null;931,2;25,5;6,4;,4;
2024-04-30;null;null;931,2;25,2;11,1;,6;
2024-05-31;null;null;932,3;25,6;9;1,2;
2024-06-30;null;null;933,8;24,5;9,4;1,9;
2024-07-31;null;null;934,9;24,5;8,6;1,9;
2024-08-31;null;null;933,9;26,1;10,3;2,2;
2024-09-30;null;null;931,8;28,1;10,3;2,4;
2024-10-31;4;null;930,6;28;9,6;,8;
2024-11-30;2;null;null;null;null;null;
2024-12-31;null;null;null;null;null;null;

